               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11184,            0.035359,                   0,                   0,                   0,                   0,                   0,            0.076548,            0.053189,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11028,            0.034747,                   0,                   0,                   0,                   0,                   0,            0.075108,            0.053263,                   0,              0.0937,              0.0007,              0.0007
                   2,             0.10693,            0.033009,                   0,                   0,                   0,                   0,                   0,            0.073997,            0.053163,                   0,              0.0901,              0.0011,              0.0011
                   3,             0.10004,            0.037166,                   0,                   0,                   0,                   0,                   0,            0.072987,            0.053098,                   0,              0.0865,              0.0015,              0.0015
                   4,             0.10314,            0.034858,                   0,                   0,                   0,                   0,                   0,            0.072603,            0.053009,                   0,              0.0829,           0.0018999,           0.0018999
                   5,            0.097391,            0.037374,                   0,                   0,                   0,                   0,                   0,             0.07207,            0.052984,                   0,              0.0793,           0.0022999,           0.0022999
                   6,             0.10103,            0.035372,                   0,                   0,                   0,                   0,                   0,            0.071705,            0.052874,                   0,              0.0757,           0.0026998,           0.0026998
                   7,            0.096343,            0.034939,                   0,                   0,                   0,                   0,                   0,            0.071229,            0.052844,                   0,              0.0721,           0.0030996,           0.0030996
                   8,            0.097826,            0.035524,                   0,                   0,                   0,                   0,                   0,            0.071014,            0.052702,                   0,            0.068499,           0.0034995,           0.0034995
                   9,            0.093579,            0.038437,                   0,                   0,                   0,                   0,                   0,            0.070776,            0.052566,                   0,            0.064899,           0.0038992,           0.0038992
                  10,            0.099265,            0.035635,                   0,                   0,                   0,                   0,                   0,             0.07086,            0.052301,                   0,            0.061299,           0.0042989,           0.0042989
                  11,            0.093248,            0.037243,                   0,                   0,                   0,                   0,                   0,            0.070804,            0.052042,                   0,            0.057699,           0.0046986,           0.0046986
                  12,             0.09484,            0.035626,                   0,                   0,                   0,                   0,                   0,            0.072466,            0.050836,                   0,            0.054098,           0.0050982,           0.0050982
                  13,            0.092759,            0.036045,                   0,                   0,                   0,                   0,                   0,            0.071543,            0.051308,                   0,            0.050498,           0.0054977,           0.0054977
                  14,            0.097342,            0.032431,                   0,                   0,                   0,                   0,                   0,            0.071141,            0.051245,                   0,            0.046897,           0.0058972,           0.0058972
                  15,            0.091165,            0.037276,                   0,                   0,                   0,                   0,                   0,             0.07363,            0.049626,                   0,            0.043297,           0.0062965,           0.0062965
                  16,            0.086404,            0.036807,                   0,                   0,                   0,                   0,                   0,            0.073594,            0.049434,                   0,            0.039696,           0.0066958,           0.0066958
                  17,            0.092411,            0.033777,                   0,                   0,                   0,                   0,                   0,            0.071674,            0.050357,                   0,            0.036095,            0.007095,            0.007095
                  18,            0.086261,            0.036512,                   0,                   0,                   0,                   0,                   0,            0.075146,            0.048021,                   0,            0.032494,           0.0074941,           0.0074941
                  19,            0.087807,            0.038314,                   0,                   0,                   0,                   0,                   0,            0.073139,            0.049472,                   0,            0.028893,            0.007893,            0.007893
                  20,             0.09377,            0.032623,                   0,                   0,                   0,                   0,                   0,            0.077729,            0.046413,                   0,            0.025292,           0.0082919,           0.0082919
                  21,            0.086178,            0.035083,                   0,                   0,                   0,                   0,                   0,            0.079504,            0.046664,                   0,            0.021691,           0.0086906,           0.0086906
                  22,            0.090814,            0.031439,                   0,                   0,                   0,                   0,                   0,            0.087284,            0.043829,                   0,            0.018089,           0.0090892,           0.0090892
                  23,            0.091289,            0.034465,                   0,                   0,                   0,                   0,                   0,             0.10023,             0.04544,                   0,            0.014488,           0.0094877,           0.0094877
                  24,            0.094691,            0.029992,                   0,                   0,                   0,                   0,                   0,             0.11634,            0.070052,                   0,            0.010886,           0.0098861,           0.0098861
                  25,            0.085931,             0.03545,                   0,                   0,                   0,                   0,                   0,             0.12663,             0.14065,                   0,           0.0099847,           0.0099847,           0.0099847
                  26,            0.089698,            0.033681,                   0,                   0,                   0,                   0,                   0,             0.12769,            0.097745,                   0,           0.0099847,           0.0099847,           0.0099847
                  27,            0.091562,            0.032168,                   0,                   0,                   0,                   0,                   0,             0.12634,             0.21269,                   0,           0.0099835,           0.0099835,           0.0099835
                  28,            0.082376,            0.038954,                   0,                   0,                   0,                   0,                   0,             0.13285,             0.45241,                   0,           0.0099822,           0.0099822,           0.0099822
                  29,             0.08284,             0.03559,                   0,                   0,                   0,                   0,                   0,               0.133,               0.484,                   0,           0.0099809,           0.0099809,           0.0099809
                  30,            0.085988,            0.034305,                   0,                   0,                   0,                   0,                   0,             0.13099,             0.20932,                   0,           0.0099795,           0.0099795,           0.0099795
